title,url,author,documentType,sourceName,visualizationType,technology,thumbnail,date
"A sprintf-like function using d3,js",https://gist.github.com/stepheneb/2045912,Stephen Bannasch,plugin,gist,,,,
A statistical model for blood pressure in patients with hypertension,http://www.mgrafit.com/04Cosinor/Cosinor.html,Francois Mercier,blog post,,line chart; scatterplot; radial plot,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%204-12-13%209.16.51%20AM.png,
A Visit From The Goon Squad - Interactive Character Map,http://www.filosophy.org/projects/goonsquad/,Filip Zembowicz,,,,,,
Abusing The Force Talk,http://vallandingham.me/abusing_the_force.html,Jim Vallandingham,blog post,,network,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%206-10-13%209.20.26%20AM.png,
"Across U.S. Companies, Tax Rates Vary Greatly",http://www.nytimes.com/interactive/2013/05/25/sunday-review/corporate-taxes.html,Mike Bostock; Matthew Ericson; David Leonhardt; Bill Marsh,,nytimes,bubble chart,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%205-25-13%203.50.32%20PM.png,
Adaptive Resampling,http://bl.ocks.org/3795544,Mike Bostock,code viewer,bl.ocks,map,,https://gist.github.com/mbostock/3795544/raw/thumbnail.png,12/23/2012
Addepar,https://addepar.com/,,product,,,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%203-5-13%2011.54.15%20PM.png,
Advanced object constancy,http://bl.ocks.org/RandomEtc/5165219,Tom Carden,code viewer,bl.ocks,,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%203-16-13%2010.17.18%20AM.png,
Adventures in D3,https://github.com/enjalot/adventures_in_d3,,source code,github code,,,,
AFL Brownlow Medalists,http://www.vislives.com/2011/09/brownlow-medal-winners-visualization.html),,,,,,,
Aid Explorer ,www.atlas.cid.harvard.edu/aidxp,Michele Coscia; Alexander Simoes,standalone visualization,,scatterplot; bar chart,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%204-2-13%204.33.36%20PM.png,
Airocean World (Dymaxion) map,https://www.jasondavies.com/maps/airocean/,Jason Davies,standalone visualization,,map,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%205-17-13%2010.44.12%20AM.png,
Aitoff,http://bl.ocks.org/3682698,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/3682698/raw/thumbnail.png,1/11/2013
Aitoff Graticule,http://bl.ocks.org/3664045,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/3664045/raw/thumbnail.png,12/6/2012
Albers Equal-Area Conic,http://bl.ocks.org/3734308,Mike Bostock,code viewer,bl.ocks,map,,https://gist.github.com/mbostock/3734308/raw/thumbnail.png,12/23/2012
Albers Projection,http://bl.ocks.org/2869871,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/2869871/raw/thumbnail.png,10/11/2012
Albers USA Projection,http://bl.ocks.org/2869946,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/2869946/raw/thumbnail.png,10/11/2012
All the Medalists: Men's 100-Meter Freestyle,http://www.nytimes.com/interactive/2012/08/01/sports/olympics/racing-against-history.html,,news,nytimes,,,,
Alpha-shapes aka concave hulls,http://bl.ocks.org/1552725,Gregor Aisch,code viewer,bl.ocks,concave hull,,,
Alternative D3.js documentation,http://www.phyzkit.net/docs/d3.d.ts.html,kontan,,,,,,
American Forces in Afghanistan and Iraq,http://www.jasondavies.com/american-forces-in-afghanistan-and-iraq/,Jason Davies,,,,,,
"Among the Oscar Contenders, a Host of Connections",http://www.nytimes.com/interactive/2013/02/20/movies/among-the-oscar-contenders-a-host-of-connections.html,Mike Bostock; Shan Carter; Josh Keller,news,nytimes,network,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%202-21-13%203.27.38%20PM.png,
An introduction to d3.js video with synced visualisation,http://latentflip.github.com/d3/techmeetup,Philip Roberts,talks,TechMeetup Edinburgh,,,,
An overview of the Hong Kong budget in 2013-14,http://data.jmsc.hku.hk/hongkong/budget/2013/,Cédric Sam,standalone visualization,,bubble chart,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%202-27-13%209.49.25%20AM.png,
Analog clock,https://my.infocaptor.com/dash/mt.php?pa=world_clocks_using_d3_part2_511031bc87e14,Nilesh Jethwa,standalone visualization,,clock,,,
Angel List compensation scatterplot,http://labs.radiantmachines.com/al/,Joshua Gourneau,standalone visualization,,scatterplot,,,
AngularJS + D3.js = Radian,http://www.skybluetrades.net/blog/posts/2013/04/24/radian/index.html,Ian Ross,blog post,,line chart,angularjs,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%204-25-13%201.27.30%20PM.png,
Animated Bézier Curves,http://www.jasondavies.com/animated-bezier/,Jason Davies,,,,,https://a248.e.akamai.net/camo.github.com/28d86b6d6ba76eebd03fcbf90e816024d62f2bea/687474703a2f2f64336a732e6f72672f65782f62657a6965722e706e67,
Animated Bubble Chart of Gates Educational Donations,http://vallandingham.me/vis/gates/,,,,bubble chart,,,
Animated bubble charts for school data analysis,http://slodge.com/teach/,Stuart Lodge,standalone visualization,,bubble chart,,,
Animated Clipped textPath,http://bl.ocks.org/3151318,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/3151318/raw/thumbnail.png,10/11/2012
Animated Quasicrystals,http://www.jasondavies.com/animated-quasicrystals/,Jason Davies,,,math,,,
Animated Sankey (alluvial) diagram,http://nickrabinowitz.com/projects/d3/alluvial/alluvial-dynamic.html,Nick Rabinowitz,code example,,sankey,,,
Animated Spirographs,http://architects.dzone.com/articles/sexy-animated-spirographs-35,Swizec Teller,blog post,,,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%203-9-13%2010.40.26%20AM.png,
Animated textPath,http://bl.ocks.org/3151228,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/3151228/raw/thumbnail.png,10/11/2012
Animated tree,http://bl.ocks.org/999346,Mike Bostock,code viewer,bl.ocks,tree,,https://gist.github.com/mbostock/999346/raw/thumbnail.png,1/21/2013
Animated Trigonometry,http://www.jasondavies.com/animated-trig/,Jason Davies,,,math,,,
Antimeridian Cutting,http://bl.ocks.org/3788999,Mike Bostock,code viewer,bl.ocks,map,,https://gist.github.com/mbostock/3788999/raw/thumbnail.png,12/19/2012
Antipodes,http://www.jasondavies.com/maps/antipodes/,Jason Davies,,,math,,,
Apollonian Gasket,http://www.jasondavies.com/apollonian-gasket/,Jason Davies,,,,,,
Apple logo with gradient,http://tributary.io/inlet/4374041/,Dealga McArdle,code viewer,tributary,logo,,,
Arc Tween (Clock),http://bl.ocks.org/1098617,Mike Bostock,code viewer,bl.ocks,arc,,https://gist.github.com/mbostock/1098617/raw/thumbnail.png,10/11/2012
Arc Tween Commented Example,http://bl.ocks.org/mbostock/5100636,Mike Bostock,code viewer,bl.ocks,donut,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%203-6-13%209.47.07%20AM.png,
Arcs Around,http://bl.ocks.org/938288,Mike Bostock,code viewer,bl.ocks,,,,4/22/2011
Area Chart,http://bl.ocks.org/3883195,Mike Bostock,code viewer,bl.ocks,area chart,,https://gist.github.com/mbostock/3883195/raw/thumbnail.png,12/9/2012
Area Choropleth,http://bl.ocks.org/4206573,Mike Bostock,code viewer,bl.ocks,choropleth,,https://gist.github.com/mbostock/4206573/raw/thumbnail.png,12/4/2012
Area Transition,http://bl.ocks.org/1059602,Ricardo Marimón,code viewer,bl.ocks,area chart,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%202-6-13%2011.24.22%20PM.png,
Area with Missing Data,http://bl.ocks.org/3035090,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/3035090/raw/thumbnail.png,12/19/2012
Argentina Census,http://interactivos.lanacion.com.ar/censo/,Manuel Aristarán,standalone visualization,,map; choropleth,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%204-22-13%209.23.58%20AM.png,
Armadillo Projection,http://bl.ocks.org/4463127,Mike Bostock,code viewer,bl.ocks,map,,https://gist.github.com/mbostock/4463127/raw/thumbnail.png,1/5/2013
Array Subclassing Test,http://bl.ocks.org/1174302,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/1174302/raw/thumbnail.png,10/11/2012
Article-Level Metrics over time,http://blogs.plos.org/mfenner/2013/03/26/using-d3-js-to-visualize-article-level-metrics-over-time/,Martin Fenner,blog post,,bar chart,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%203-28-13%205.17.11%20PM.png,
Asia Lambert Conic Conformal,http://bl.ocks.org/4613663,Mike Bostock,code viewer,bl.ocks,map,,https://gist.github.com/mbostock/4613663/raw/thumbnail.png,1/23/2013
At the Democratic Convention the Words Being Used,http://www.nytimes.com/interactive/2012/09/04/us/politics/democratic-convention-words.html,,news,nytimes,,,,
At the National Conventions the Words They Used,http://www.nytimes.com/interactive/2012/09/06/us/politics/convention-word-counts.html,,news,nytimes,,,,
Atlantis,http://bl.ocks.org/4519975,Mike Bostock,code viewer,bl.ocks,map,,https://gist.github.com/mbostock/4519975/raw/thumbnail.png,1/12/2013
Audio Spectrum Analyzer,http://d3-spectrum.herokuapp.com,Ari Russo,,,,,,
August Projection,http://bl.ocks.org/3797581,Mike Bostock,code viewer,bl.ocks,map,,https://gist.github.com/mbostock/3797581/raw/thumbnail.png,12/23/2012
Autofocus,http://bl.ocks.org/1627439,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/1627439/raw/thumbnail.png,10/11/2012
Autoforking,http://bl.ocks.org/1305347,Mike Bostock,code viewer,bl.ocks,,,,12/18/2012
Automatic floating labels using d3 force-layout,http://bl.ocks.org/1691430,,code viewer,bl.ocks,label,,,
Automatically sizing text,http://bl.ocks.org/1846692,Mike Bostock,code viewer,bl.ocks,bubble chart,,https://gist.github.com/mbostock/1846692/raw/thumbnail.png,
Axis Component,http://bl.ocks.org/1166403,Mike Bostock,code viewer,bl.ocks,axis,,https://gist.github.com/mbostock/1166403/raw/thumbnail.png,1/9/2013
Axis Examples,http://bl.ocks.org/3605124,,code viewer,bl.ocks,axis,,,
Axis Styling,http://bl.ocks.org/3371592,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/3371592/raw/thumbnail.png,12/17/2012
Azimuthal Equidistant,http://bl.ocks.org/3757110,Mike Bostock,code viewer,bl.ocks,map,,https://gist.github.com/mbostock/3757110/raw/thumbnail.png,12/23/2012
Azimuthal Equidistant,http://bl.ocks.org/4436875,Mike Bostock,code viewer,bl.ocks,map,,https://gist.github.com/mbostock/4436875/raw/thumbnail.png,1/3/2013
Azimuthal Projections,http://mbostock.github.com/d3/talk/20111018/azimuthal.html,Mike Bostock,,,map,,https://a248.e.akamai.net/camo.github.com/d1117a9fdc468634b8560e9a67d36a31a26d99fe/687474703a2f2f64336a732e6f72672f65782f617a696d757468616c2e706e67,
Baby Names in England & Wales,http://names.darkgreener.com,Anna Powell-Smith,,,,,,
Backbone-D3: Simple visualisations of Backbone collections via D3.js,http://drsm79.github.com/Backbone-d3/index.html,Mike Wallace; Simon Metson,code library,github page,,backbone,,
Baker Dinomic,http://bl.ocks.org/4476279,Mike Bostock,code viewer,bl.ocks,map,,https://gist.github.com/mbostock/4476279/raw/thumbnail.png,1/7/2013
bar + sum: d3.js & angular.js,http://bl.ocks.org/milroc/5519819,Miles McCrocklin,standalone visualization,,bar chart,angular,http://24.media.tumblr.com/fcfbbf56da352dd2273d9fa86bf311c4/tumblr_mmmvx1D1YF1sqcb3ho1_1280.png,
bar + sum: d3.js & backbone.js,http://bl.ocks.org/milroc/5522467,Miles McCrocklin,standalone visualization,,bar chart,backbone,http://24.media.tumblr.com/fcfbbf56da352dd2273d9fa86bf311c4/tumblr_mmmvx1D1YF1sqcb3ho1_1280.png,
bar + sum: d3.js & ember.js,http://bl.ocks.org/milroc/5520449,Miles McCrocklin,standalone visualization,,bar chart,ember,http://24.media.tumblr.com/fcfbbf56da352dd2273d9fa86bf311c4/tumblr_mmmvx1D1YF1sqcb3ho1_1280.png,
bar + sum: reusable d3.js,http://bl.ocks.org/milroc/5519642,Miles McCrocklin,standalone visualization,,bar chart,,http://24.media.tumblr.com/fcfbbf56da352dd2273d9fa86bf311c4/tumblr_mmmvx1D1YF1sqcb3ho1_1280.png,
bar + sum: vanilla d3.js,http://bl.ocks.org/milroc/5518052,Miles McCrocklin,standalone visualization,,bar chart,,http://24.media.tumblr.com/fcfbbf56da352dd2273d9fa86bf311c4/tumblr_mmmvx1D1YF1sqcb3ho1_1280.png,
Bar Chart,http://bl.ocks.org/3885304,Mike Bostock,code viewer,bl.ocks,bar chart,,https://gist.github.com/mbostock/3885304/raw/thumbnail.png,1/13/2013
Bar chart code generator and online editor,http://www.d3-generator.com/,,,,bar chart,,,
Bar Chart with Negative Values,http://bl.ocks.org/2368837,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/2368837/raw/thumbnail.png,10/11/2012
Bar Chart with Negative Values,http://bl.ocks.org/mbostock/2368837,Mike Bostock,code viewer,bl.ocks,bar chart,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%204-11-13%209.18.11%20AM.png,
Baseball 2012 Predictions based on past 6 years,http://sizethreestudios.com/Projects/_moneyball,Danny Hadley,,,,,,
Basic Gantt Chart,http://bl.ocks.org/thor5551/4986745,Andrew Thornton,code viewer,bl.ocks,gantt chart,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%202-19-13%201.34.10%20PM.png,
Basic Reusable Slopegraph,http://bl.ocks.org/4348024,Christophe Viau,code viewer,bl.ocks,slopegraph,,,
Bathymetry of Lake Michigan,http://graftdata.com/lakemichigan,Andrew Thornton,standalone visualization,,map; countour map,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%206-21-13%202.34.13%20PM.png,
Bay Area d3 User Group,http://www.meetup.com/Bay-Area-d3-User-Group/,,Meetup,,,,,
Bay Area earthquake responses by zip code,http://bl.ocks.org/1343714,,code viewer,bl.ocks,map,yahoo pipes,,
Beautiful Spiral Things,http://tributary.io/inlet/5211034,,,,,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%204-12-13%209.15.01%20AM.png,
Beautiful visualizations with D3.js,http://www.youtube.com/watch?v=JAlZ0uJnqkA,S Anand,video,,,,,
Beeswarm plot,http://bl.ocks.org/njvack/1316832,Nate Vack,code viewer,bl.ocks,beeswarm plot,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%204-24-13%209.38.16%20AM.png,
Behind the Australian Financial Review’s Budget Explorer,http://datadrivenjournalism.net/featured_projects/Behind_the_Australian_Financial_Reviews_Budget_Explorer,Edmund Tadros,blog post,,bar chart,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%205-28-13%209.20.50%20AM.png,
Berghaus Star,http://bl.ocks.org/4463049,Mike Bostock,code viewer,bl.ocks,map,,https://gist.github.com/mbostock/4463049/raw/thumbnail.png,1/5/2013
Berghaus Star Projection,http://bl.ocks.org/mbostock/4463049,Mike Bostock,code viewer,bl.ocks,map,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%204-12-13%209.20.34%20AM.png,
Bharat Bhole,http://knowledgestockpile.blogspot.com/search/label/D3,Bharat Bhole,blog,,,,,
Bibly v2: Visualizing word distribution within the KJV bible,http://stanford.edu/~garylee/bibly/,Gary Lee; Anirudh Venkatesh,,,bible chart,,,
Bieber Fever Meter with HTML5 Web Socket d3.js and Pusher,http://ollieglass.com/2012/04/21/bieber-fever-meter-with-html5s-web-socket-d3-js-and-pusher/,Ollie Glass,,,,web socket; pusher,,
Biham-Middleton-Levine Traffic Model,http://www.jasondavies.com/bml/,Jason Davies,,,math,,,
Binify + D3 = Gorgeous honeycomb maps,http://mechanicalscribe.com/notes/binify-d3-topojson-tutorial/,Chris Wilson,blog post,,map; hexbin,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%205-9-13%209.19.19%20AM.png,
Binned Line Chart ,http://bl.ocks.org/MattWoelk/5196687,Matt Woelk,code viewer,bl.ocks,binned line chart,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%204-4-13%2012.41.59%20PM.png,
BioVis Project: Identification of Mutations that Affect Protein Function,https://googledrive.com/host/0B7G1I9OfZ_ylbDUxa0JqLVMyRzg/,Johnathan Mercer; Balaji Pandian,standalone visualization,,bat chart; arc diagram,crossfilter,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%205-19-13%208.06.14%20PM.png,
BIS Derivative Data,http://bl.ocks.org/timelyportfolio/5586845,Kenton Russel,code viewer,bl.ocks,grouped bar chart; stacked bar chart,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%205-23-13%209.29.47%20AM.png,
Bitdeli: Custom analytics with Python and GitHub,https://bitdeli.com/,,,,,,,
Bitly link Co-occurrence,http://colloquial.herokuapp.com/vis,,standalone visualization,heroku,adjacency matrix,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%202-27-13%2010.32.53%20AM.png,
Bivariate Area Chart,http://bl.ocks.org/3884914,Mike Bostock,code viewer,bl.ocks,area chart,,https://gist.github.com/mbostock/3884914/raw/thumbnail.png,10/13/2012
Bivariate Hexbin Map,http://bl.ocks.org/4330486,Mike Bostock,code viewer,bl.ocks,map; hexbin,,https://gist.github.com/mbostock/4330486/raw/thumbnail.png,1/23/2013
Bl.ocks RSS,http://bl.ocks.org/mbostock.rss,Mike Bostock,collection,,,,,
Blocky Counties,http://bl.ocks.org/4206857,Mike Bostock,code viewer,bl.ocks,map,,https://gist.github.com/mbostock/4206857/raw/thumbnail.png,1/1/2013
Blocky Counties,http://bl.ocks.org/4431123,Mike Bostock,code viewer,bl.ocks,map,,https://gist.github.com/mbostock/4431123/raw/thumbnail.png,1/2/2013
Bloom Filters,http://www.jasondavies.com/bloomfilter/,Jason Davies,,,math,,,
Boggs Eumorphic,http://bl.ocks.org/4481220,Mike Bostock,code viewer,bl.ocks,map,,https://gist.github.com/mbostock/4481220/raw/thumbnail.png,1/7/2013
Bonne Projection,http://bl.ocks.org/3734313,Mike Bostock,code viewer,bl.ocks,map,,https://gist.github.com/mbostock/3734313/raw/thumbnail.png,12/23/2012
Boston d3.js User Group,http://www.meetup.com/Boston-d3-js-User-Group/,,Meetup,,,,,
Bouncing balls test using d3.layout.force,http://bl.ocks.org/ericcitaire/5408146,Eric Citaire,code viewer,bl.ocks,,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%204-18-13%209.43.48%20AM.png,
Bounded Force Layout,http://bl.ocks.org/1129492,Mike Bostock,code viewer,bl.ocks,network,,https://gist.github.com/mbostock/1129492/raw/thumbnail.png,10/11/2012
Box plot,http://bl.ocks.org/4061502,Mike Bostock,code viewer,bl.ocks,box plot,,https://a248.e.akamai.net/camo.github.com/24fc9f957d2d3b3a4f23b7aa49c8c1ad1a8e6b84/687474703a2f2f64336a732e6f72672f65782f626f782e706e67,
Bracket Layout,http://blockses.appspot.com/2503502,,,,tree,,,
Briesemeister,http://bl.ocks.org/4519926,Mike Bostock,code viewer,bl.ocks,map,,https://gist.github.com/mbostock/4519926/raw/thumbnail.png,1/12/2013
Bromley,http://bl.ocks.org/4487695,Mike Bostock,code viewer,bl.ocks,map,,https://gist.github.com/mbostock/4487695/raw/thumbnail.png,1/8/2013
Browser usage plurality,http://thecelestialweb.com,Ali Almossawi,,,,,,
Brush Handles,http://bl.ocks.org/4349545,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/4349545/raw/thumbnail.png,12/20/2012
Brushable Network,http://bl.ocks.org/4560481,Mike Bostock,code viewer,bl.ocks,network,,https://gist.github.com/mbostock/4560481/raw/thumbnail.png,1/19/2013
Brushable Network II,http://bl.ocks.org/4565798,Mike Bostock,code viewer,bl.ocks,network,,https://gist.github.com/mbostock/4565798/raw/thumbnail.png,1/19/2013
Bubble Chart,http://bl.ocks.org/4063269,Mike Bostock,code viewer,bl.ocks,bubble chart,,https://gist.github.com/mbostock/4063269/raw/thumbnail.png,1/6/2013
Bubbles,http://www.jasondavies.com/bubbles/,Jason Davies,,,,,,
Bubbles generator using a simplex noise,http://2013.poster.thirteen23.com/generator/,Adam Luikart,standalone visualization,,experiment,,,
Build Your Own Graph!,http://bl.ocks.org/929623,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/929623/raw/thumbnail.png,1/21/2013
"Building a lightweight, flexible D3.js dashboard",http://ufert.se/user-acquisition/mobile-game-monetization/building-a-lightweight-flexible-d3-js-dashboard-part-1-of-2/,Eric Seufert,blog post,,line chart,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%204-12-13%209.22.36%20AM.png,
Building a tree diagram,http://blog.pixelingene.com/2011/07/building-a-tree-diagram-in-d3-js/,,tutorial,,tree,,,
Building a UML editor in JS,http://www.tikalk.com/javascript/building-uml-editor-javascript-part-3,Udi h Bauman,blog post,,diagram,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%202-18-13%2010.23.02%20AM.png,
Building Cubic Hamiltonian Graphs from LCF Notation,http://www.christophermanning.org/projects/building-cubic-hamiltonian-graphs-from-lcf-notation/,Christopher Manning,,,,,,
BulleT (a variant of mbostock's Bullet Charts),http://bl.ocks.org/CodeXmonk/6187523,József Hornyik,code viewer,bl.ocks,bullet chart,,https://gist.github.com/CodeXmonk/6112167/raw/bbd3c9b608ff8123c6664d1bf9a850dcc9ca1065/thumbnail.png,8/30/2013
